‘‹‚ÌŽí—Þ,”MŠÑ—¬—¦,“úŽË”MŽæ“¾—¦
FL3(6.0),5.8,0.74
FL3+A6+FL3(3.3),4.1,0.68
FL3+A12+FL3(2.9),3.8,0.68
FL3+A16+FL3(2.8),3.1,0.67
Low-E3+A16+FL3(1.7),2.4,0.58
FL3+A16+Low-E3(1.7),2.4,0.65
Low-E3+Ar16+FL3(1.5),2.2,0.59
FL3+Ar16+Low-E3(1.5),2.2,0.59
Low-E3+A16+FL3(1.4),2.2,0.49
Low-E3+Ar16+FL3(1.2),2.0,0.49
FL3+Ar16+Low-E3(1.2),2.0,0.52
Low-3+Ar16+FL3(1.2),1.9,0.37
Low-E3+Ar8+FL3+Ar3+Low-E3(1.0),1.8,0.42
Low-E3+Ar8+FL3+Ar3+Low-E3(0.98),1.8,0.32
FL3+Ar16+Low-E3(1.2)vinyl,1.6,0.49
Low-E3+Ar16+FL3(1.2)vinyl,1.6,0.35
Low-E3+Kr8+FL3+Kr8+Low-E3(0.69),1.6,0.43
Low-E3+Ar8+FL3+Ar8+Low-E3(1.0),1.6,0.40
Low-E3+Kr8+FL3+Kr8+Low-E3(0.66),1.5,0.33
Low-E3+Ar8+Low-E3(0.98)vinyl,1.5,0.31
Low-E3+Kr8+FL3+Kr8+Low-E3(0.69)vinyl,1.3,0.41
Low-E3+Kr8+FL3+Kr8+Low-E3(0.66)vinyl,1.2,0.31
Low-E3+Kr8+FL3+Kr8+Low-E3(0.59)vinyl,1.2,0.40
Low-E3+Kr8+FL3+Kr8+Low-E3(0.55)vinyl,1.2,0.30
